2026-02-09 05:05:06 | EURUSD | M5 | candle=2026-02-09 05:00:00 | O=1.18193 H=1.1822 L=1.18193 C=1.18214 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:10:07 | [SP500] | M5 | candle=2026-02-09 05:05:00 | O=6941.4 H=6942.4 L=6940.65 C=6941.15 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:10:08 | EURUSD | M5 | candle=2026-02-09 05:05:00 | O=1.18214 H=1.18214 L=1.18204 C=1.18209 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:15:09 | [SP500] | M5 | candle=2026-02-09 05:10:00 | O=6941.15 H=6941.59 L=6939.4 C=6940.65 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:15:09 | EURUSD | M5 | candle=2026-02-09 05:10:00 | O=1.1821 H=1.18211 L=1.1819600000000001 C=1.182 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:20:00 | [SP500] | M5 | candle=2026-02-09 05:15:00 | O=6940.4 H=6942.02 L=6938.65 C=6939.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:20:10 | EURUSD | M5 | candle=2026-02-09 05:15:00 | O=1.182 H=1.18226 L=1.18192 C=1.18216 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:25:02 | [SP500] | M5 | candle=2026-02-09 05:20:00 | O=6939.4 H=6941.77 L=6938.9 C=6940.9 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:25:02 | EURUSD | M5 | candle=2026-02-09 05:20:00 | O=1.18216 H=1.18225 L=1.1820599999999999 C=1.18222 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:30:03 | [SP500] | M5 | candle=2026-02-09 05:25:00 | O=6941.15 H=6941.52 L=6938.65 C=6938.65 | bull_eng=False | bear_eng=True | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=True | action=SELL | lots=1.1 | sl=6947.27 | tp=6921.409999999998
